Station_code Lat Lon no_of_data_points rms_gps rms_grace rms_diff slope_gps slope_grace slope_diff corr_coeff error_message
CRAR -77.8480443811 166.6682456508 62 4.662957 1.609675 4.756617 -0.705923 0.480539 1.186462 0.113833 0
CREU 42.3188416109 3.3156011898 1 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CRFP 34.0390507962 -117.0996788986 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CRHS 33.8235030508 -118.2727635189 55 5.506816 1.782705 5.151840 1.573643 0.107953 -1.465690 0.354568 0
CRO1 17.7568979764 -64.5843199445 285 6.440914 1.539403 6.470582 -1.628335 -0.061359 1.566976 0.100185 0
CRRS 33.0698072434 -115.7350393824 59 5.667220 1.756367 5.690739 -1.342350 0.162771 1.505120 0.141540 0
CRU1 34.0292584755 -119.7848085744 42 4.920076 2.044973 5.019960 -0.897884 0.162320 1.060203 0.158480 0
CSAR 32.4882553199 34.8901868520 15 7.217917 2.078678 6.886632 3.030050 0.940533 -2.089517 0.299710 0
CSCI 34.1684016131 -119.0389776595 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CSDH 33.8614759983 -118.2567132734 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CSN1 34.2535484504 -118.5238075515 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CSST 34.4080892240 -119.3712466568 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CTMS 34.1241005835 -116.3704249637 11 4.391043 1.356343 4.816062 1.179705 -0.258314 -1.438018 -0.174077 0
