name	lat	lon
AKDG	39.66	35.872
AKED	64.845	-148.005
AKER	61.329	-149.566
AKFN	64.849	-147.693
AKFX	64.96	-147.617
AKGG	54.198	-165.994
AKHR	38.369	31.43
AKKO	52.016	70.937
AKLV	54.163	-165.956
AKMO	54.09	-166.012
AKNP	64.757	-147.394
AKPR	61.598	-149.111
AKRB	54.129	-166.071
AKS1	37.048	31.787
AKSE	60.132	-149.436
AKSI	57.049	-135.339
AKSR	38.37	33.998
AKTO	-40.54	176.461
AKUR	65.685	-18.122
AKYR	34.981	24.913
AL10	34.435	-86.268
AL13	34.604	-85.931
AL15	33.99	-86.08
AL20	34.71	-87.663
AL23	34.149	-87.954
AL2H	48.39	-123.487
AL30	33.532	-86.853
AL35	33.165	-86.757
AL40	32.963	-86.006
AL46	32.326	-85.161
AL4A	32.962	-86.007
AL50	33.168	-87.502
AL55	32.711	-87.616
AL60	32.411	-86.271
AL62	32.148	-85.687
AL70	31.783	-85.965
AL76	31.875	-85.226
AL81	32.576	-88.182
AL82	32.257	-87.626
AL83	31.995	-87.333
AL84	31.7	-87.789
AL90	30.691	-88.032
AL92	30.916	-87.776
ALA1	32.599	-85.504
ALA2	43.288	76.943
ALAB	41.405	71.496
ALAC	38.339	-0.481
ALAJ	28.064	-17.241
ALAL	19.381	-155.592
ALAM	37.358	-115.158
ALAN	31.307	-86.484
ALAR	-9.749	-36.653
ALAS	33.667	-85.831
ALAT	41.673	13.384
ALAU	32.608	-85.48
ALAV	31.552	-85.234
ALB2	-36.078	146.916
ALB3	7.761	-73.389
ALB4	43.934	2.137
ALB5	39.946	16.456
ALBA	38.978	-1.856
ALBE	34.475	-87.865
ALBH	48.39	-123.487
ALBI	10.663	-61.515
ALBL	43.677	-93.33
ALBM	43.947	2.152
ALBO	35.94	-3.034
ALBU	32.082	-88.233
ALBY	-34.95	117.81
ALC1	33.262	-88.095
ALC3	37.982	12.967
ALC4	38.785	-8.873
ALC5	41.058	-0.145
ALC6	33.105	-86.751
ALCA	37.731	-0.861
ALCE	32.946	-87.151
ALCH	31.451	-88.196
ALCI	48.457	38.906
ALCL	32.84	-86.63
ALCN	34.163	-85.659
ALCO	38.698	-0.474
ALCU	34.18	-86.845
ALD1	50.779	-113.941
ALDA	42.754	-2.332
ALDB	52.153	1.603
ALDE	27.985	-15.78
ALDI	30.249	-88.078
ALDO	31.239	-85.44
ALDS	34.148	-87.405
ALE3	40.849	25.853
ALEB	31.091	-87.056
ALEF	29.692	-95.635
ALEP	19.541	-155.644
ALES	44.923	8.616
ALEX	45.892	-95.384
ALFA	33.685	-87.829
ALFD	64.984	-16.034
ALFL	34.897	-87.797
ALFO	30.417	-87.675
ALFR	43.447	-70.73
ALG2	45.955	-78.071
ALG3	45.955	-78.073
ALGA	37.667	-0.863
ALGC	36.111	-5.444
ALGO	45.956	-78.071
ALGR	31.829	-86.617
ALGY	47.461	5.606
ALH1	34.133	-88.002
ALHC	33.524	-85.635
ALHL	33.888	-86.398
ALIC	-23.67	133.886
ALIF	41.327	14.335
ALIN	44.923	8.616
ALJA	33.832	-87.278
ALLA	32.917	-85.401
ALLE	45.199	3.712
ALLG	39.654	-78.731
ALM1	36.832	-2.485
ALM2	48.557	-71.638
ALMA	-9.555	-35.777
ALMB	30.707	-88.046
ALME	36.853	-2.459
ALMJ	31.029	-88.23
ALMO	38.706	-4.18
ALMR	36.863	-2.441
ALMZ	41.503	-2.539
ALNB	31.377	-85.916
ALNC	34.681	-87.309
ALON	31.708	34.607
ALOR	39.934	4.14
ALP1	41.722	12.611
ALPA	11.528	-72.918
ALPE	45.087	6.083
ALPP	34.824	-118.695
ALRA	41.734	14.034
ALRE	31.411	-87.234
ALRT	82.494	-62.34
ALSA	42.892	-2.164
ALSC	59.186	-138.318
ALSE	32.447	-87.012
ALSN	44.923	8.616
ALSP	34.418	-87.172
ALT2	40.823	16.559
ALTA	33.423	-86.121
ALTH	36.89	-120.67
ALTU	31.8	-85.954
ALU2	47.042	3.627
ALUK	57.424	27.072
ALUM	-27.323	-66.597
ALUT	40.584	-111.62
ALV1	52.519	-106.02
ALV2	42.819	-81.869
ALVN	29.401	-95.278
ALW2	-34.71	140.493
ALWB	30.416	-87.827
ALWJ	26.458	36.378
ALX2	31.197	29.911
ALXN	48.671	33.113
ALXR	43.97	25.327
ALYT	54.393	24.04
AMA1	39.12	16.077
AMA2	46.368	13.079
AMAN	1.222	111.458
AMAR	38.209	-7.228
AMAS	40.666	35.849
AMB1	-41.205	146.376
AMB2	45.541	3.75
AMBC	-0.969	-62.926
AMBE	54.434	-2.965
AMBI	25.981	-97.483
AMBL	49.859	0.994
AMBN	-3.696	128.185
AMC2	38.803	-104.525
AMC4	38.803	-104.525
AMCO	-4.872	-65.334
AMCR	-4.086	-63.142
AMCS	38.803	-104.525
AMDE	-20.242	-67.627
AME3	29.45	-91.338
AMEL	53.446	5.765
AMER	51.677	-0.559
AMES	41.983	-93.684
AMHA	-7.517	-63.028
AMHG	42.037	-82.985
AMHT	45.832	-64.188
AMHU	-7.503	-63.029
AMIY	47.965	2.728
AMMN	32.029	35.88
AMMU	-3.397	-57.709
AMNH	21.501	39.168
AMNS	49.859	2.238
AMOS	48.563	-78.112
AMPE	46.415	12.799
AMPR	-2.631	-56.734
AMS1	48.147	14.857
AMS3	48.565	-78.112
AMTA	-4.224	-69.935
AMTE	-3.346	-64.707
AMTS	41.742	-70.617
AMU1	43.056	-3.004
AMU2	-89.999	-116.538
AMUA	-3.092	-60.018
AMUN	-89.998	138.978
AMUR	40.907	16.604
ANA1	34.015	-119.363
ANAT	46.133	-117.135
ANAU	-38.268	178.291
ANAV	37.733	23.904
ANAY	45.24	4.682
ANC1	61.182	-149.997
ANC2	61.175	-149.983
ANC3	43.607	13.532
ANCA	43.217	-79.988
ANCG	43.603	13.502
ANCN	-11.777	-77.15
ANCY	45.901	6.123
AND1	69.326	16.135
AND2	12.586	-81.701
AND3	27.044	-82.4
AND4	50.952	-114.144
ANDA	-30.453	137.16
ANDE	48.791	4.954
ANDO	69.278	16.009
ANDR	37.886	24.737
ANDS	41.596	-87.132
ANDU	38.04	-4.03
ANG3	40.931	15.184
ANG4	-38.396	144.193
ANG5	29.301	-95.485
ANG6	29.302	-95.485
ANG7	46.919	-71.093
ANG8	-37.796	-72.692
ANGE	47.472	-0.548
ANGL	46.406	-1.406
ANGO	45.114	-89.163
ANGS	-2.515	140.704
ANH1	36.674	126.135
ANIG	21.054	-104.521
ANIK	36.826	22.282
ANIP	19.396	-155.517
ANKO	9.583	39.742
ANKR	39.887	32.758
ANKY	35.867	23.301
ANLX	51.689	-5.079
ANMG	2.785	101.507
ANMU	36.069	32.865
ANN1	49.128	-66.495
ANNA	-32.785	152.086
ANNE	45.926	6.103
ANNO	45.241	4.666
ANNY	45.898	6.114
ANOP	35.218	24.096
ANP5	39.01	-76.609
ANP6	39.011	-76.609
ANRK	39.856	32.846
ANSG	37.012	127.266
ANT1	45.604	-62.022
ANT2	39.061	8.455
ANT3	51.203	4.447
ANTA	36.829	30.609
ANTB	39.848	-117.371
ANTC	-37.339	-71.532
ANTE	40.146	-118.167
ANTG	45.617	-62.011
ANTH	-30.68	26.716
ANTI	28.423	-14.014
ANTL	36.888	30.666
ANTP	37.065	37.374
ANTV	39.643	-120.281
ANTW	-36.295	142.027
ANYN	37.394	126.962
ANZP	41.124	15.284
AO01	45.737	7.321
AOA1	34.157	-118.83
AOBS	-13.815	-171.781
AOML	25.735	-80.162
AOPR	18.347	-66.754
AOUS	44.711	5.058
APEC	0.333	-78.546
APEL	52.212	5.962
APEX	36.319	-114.932
API1	38.378	-89.377
APL1	39.16	-76.9
APLI	36.732	-4.468
APLJ	-0.822	-52.516
APMA	0.047	-51.097
APMX	37.353	-78.828
APNT	19.264	-155.202
APOL	-38.759	143.65
APPL	51.057	-4.2
APRC	41.757	15.543
APRI	41.597	12.665
APS1	-0.06	-51.166
APSA	-0.06	-51.167
APSL	-36.968	141.083
APT1	43.874	5.397
APTN	44.283	-88.46
APTO	7.878	-76.632
AQNC	45.161	10.425
AQRA	42.366	13.374
AQSA	39.721	16.084
AQUA	32.679	-114.485
AQUI	42.368	13.35
AQUM	42.328	13.467
AR27	33.342	-117.325
AR53	33.381	-117.477
ARA1	40.025	-3.613
ARAC	37.894	-6.565
ARAD	46.173	21.345
ARAN	45.715	5.425
ARAR	-37.283	142.934
ARAS	39.945	-1.102
ARAU	6.45	100.28
ARB2	50.902	-97.201
ARBK	34.887	-91.196
ARBO	50.965	-96.99
ARBT	35.71	-91.629
ARBU	39.525	8.594
ARBV	36.363	-94.216
ARBY	36.356	-93.58
ARC1	39.367	16.226
ARC2	46.673	0.653
ARCA	7.084	-70.759
ARCC	73.004	-85.026
ARCD	-25.272	148.858
ARCE	43.505	12.949
ARCH	38.88	-109.757
ARCL	35.47	-93.48
ARCM	33.542	-92.883
ARCO	-37.206	-73.226
ARCT	36.364	-94.311
ARCW	35.114	-92.506
ARCY	35.113	-92.43
ARD2	-34.351	146.903
ARDA	41.111	42.699
ARDH	45.108	-93.18
ARDL	51.916	0.962
ARDN	47.778	1.872
ARDQ	34.08	-94.324
ARDR	51.286	-113.979
ARDU	41.666	-3.743
ARED	33.207	-92.669
AREG	-16.465	-71.493
AREL	32.102	35.209
AREQ	-16.466	-71.493
ARES	44.764	-1.134
AREV	-16.466	-71.493
AREZ	43.464	11.875
ARFL	36.121	-94.146
ARFS	35.322	-94.304
ARFY	36.116	-94.18
ARG1	27.761	-15.681
ARGI	61.997	-6.784
ARGR	45.947	7.005
ARGS	34.068	-93.116
ARGU	36.05	-117.522
ARHP	33.696	-93.601
ARHR	36.184	-93.03
ARHT	-77.829	166.664
ARIA	44.24	-91.511
ARIB	42.935	-1.262
ARIS	56.91	-5.849
ARIT	-5.04	32.825
ARJ6	66.318	18.125
ARJB	35.848	-90.747
ARJF	-33.629	-78.837
ARJO	35.839	-90.704
ARK1	35.134	25.269
ARKI	38.755	23.034
ARKL	52.797	-6.158
ARLD	47.134	4.486
ARLI	48.174	-122.142
ARLN	45.708	-120.183
ARLR	34.673	-92.383
ARM1	35.201	-118.91
ARM2	35.201	-118.911
ARM3	36.369	-92.373
ARM4	43.242	2.766
ARMA	35.906	-92.633
ARMC	-22.957	145.245
ARMD	-30.515	151.666
ARMH	36.353	-92.382
ARMI	6.062	37.561
ARML	35.917	-89.803
ARMO	33.595	-91.813
ARMY	38.498	-118.438
ARNA	47.947	0.181
ARNG	43.667	-112.623
ARNP	45.435	-76.357
ARNR	48.515	13.988
AROL	10.437	-84.709
ARP7	27.838	-97.059
ARP8	27.838	-97.059
ARPB	34.194	-91.914
ARPC	34.632	-93.736
